id,sent1,sent2,label,annotation1,annotation2
84,The work appears in the Oct. 22/29 issue of the Journal of the American Medical Association.,The study appears in Wednesday's Journal of the American Medical Association (news - web sites).,1,"Correct (reduced number issue)  I guess Oct 22/29 --> wed is reduced for the humans, but not for the system.",work -> study; Oct. 22/29 issue -> Wednesday's;
85,"On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.","He crawled through a narrow, winding canyon, rappelled down a 60-foot cliff, and walked some six miles down the canyon near Canyonlands National Park in southeastern Utah.",0,Incorrect  I feel this is a paraphrase: throw out the date and the exact location and everything is exactly the same.,arguably a paraphrase; B contains more detailed description; 0 -> near Canyonlands National Park in southeastern Utah;
86,"""In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history,"" Bush said.","Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.",0,"Incorrect  I think this is ok, the other information doesn't add so much...",probably should be considered paraphrase; In so many different ways -> 0; 0 -> Surrounded by singers from Harlem
87,"The new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up.","The new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up, including 20 women taking hormones.",0,"Incorrect  Subsumption - s2 adds 20 women taking hormones, but that doesn't change the meaning too much for me....well could go either way.  gray area.",B has more information than A; 0 -> including 20 women taking hormones;
88,Both are being held in the Armstrong County Jail.,Tatar was being held without bail in Armstrong County Prison today.,0,"Correct  Surprised that the system gets this right.  I guess the sentences are so short and ""<be> being held in Armstrong Country Jail/Prison"" outweighs the other changes?",very short sentence; Both -> Tatar; 0 -> without bail;
89,The Herald reported on Tuesday that internet developer Bruce Simpson was building a missile from parts ordered over the internet and shipped through Customs.,A home handyman is building a missile in his garage with parts bought over the internet and shipped through Customs.,1,"Correct  The first half does not overlap, need inferencing to tie them together.",*not a paraphrase; internet developer Bruce Simpson -> A home handyman;
90,The women said victims of rape who came forward routinely were punished for minor infractions while their assailants escaped judgment.,"The women said victims of rape who came forward were routinely punished for minor infractions while their attackers escaped judgment, prompting most victims to remain silent.",0,"Correct  There seems to be this casaulty effect with s2's additional phrase, whcih s1 does not ahve.  System calls it paraphrase because 80% of this long sentence overlaps strongly.  So subtle meaning difference?",B contains more than A; prompting most victims to remain silent; [I've seen this sentence pair before]
91,"Navistar shares were down 44 cents, or 1.1 percent, at $41.19 on the New York Stock Exchange after falling as low as $39.93.",Navistar shares rose a penny to $41.64 at late afternoon on the New York Stock Exchange after earlier falling as low as $39.93.,0,"Correct  Not sure why we get this wrong, a bunch of the numbers are off.  But maybe enough is in common to push it over the edge.",numbers do not match; were down != rose;
92,"Lawmakers at the closed-door hearing focused on the National Intelligence Estimate reports on Iraq's chemical, biological and nuclear weapons programs.",Lawmakers on the House panel will question intelligence analysts at the closed-door hearing about the factors that went into compiling the National Intelligence Estimate reports on Iraq's weapons programs.,1,Incorrect  I feel these two are semantically different.  s1 focuses on stating what the lawmakers focus on.  s2 says specifically that they will question what they are focusing on.  Maybe I am splitting hairs too much on this.,"on the House panel will question intelligence analysts -> 0; chemical, biological and nuclear -> 0;"
93,The supercomputer is actually an eServer and storage system with a peak speed of 7.3 trillion calculations per second.,It's a cluster of 44 IBM servers with a peak speed of 7.3 trillion calculations per second.,1,"Correct  Anaphora - inferencing between ""supercomputer...storage system"" --> it  . This one is wicked hard for a system and requires massive amounts of world knowledge.",anaphoric reference; an eServer and storage system -> a cluster of 44 IBM servers;
94,The launch marks the start of a new golden age in Mars exploration.,The launch marks the start of a race to find life on another planet.,1,"Incorrect  I feel this should not be a paraphrase, a new golden age for Mars is a bit different from find life on another planet, I think there is some majoring inferencing going on.",not a paraphrase; new golden age in Mars exploration -> race to find life on another planet;
95,"""It would be completely irresponsible to reverse course and kill country-of-origin labeling,"" said Daschle.","""It would be completely irresponsible to reverse course,"" said Senate Democratic Leader Tom Daschle, of South Dakota.",0,Incorrect  extra information doesn't change meaning.  i think the system is right.,named entity recongition could match name in A to name + description in B; and kill country-of-origin labeling -> 0;
96,"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.",1,"Correct  Hard inference - have to know that the introduction = Sunday, Sep 21.  That's really hard for a system.",Galvin said -> 0; since its introduction -> since Sept. 21;
97,The case comes out of Illinois and involves a for-profit company called Telemarketing Associates Inc.,"The case decided Monday centered around an Illinois fund-raiser, Telemarketing Associates.",1,"Correct  I guess this is a paraphrase, the gist is that there is a case which involves an Illinois company called Telemarketing Associates so the different information in s1 and s2 doesn't really change that.  This is problematic for a system since the only things in common are a few words - case, TA, Illinois....",comes out of -> 0; for-profit company -> fund-raiser;
98,"Licensing revenue slid 21 percent, however, to $107.6 million.","License sales, a key measure of demand, fell 21 percent to $107.6 million.",1,"Correct  Not sure why system does not get this right.  Though numbers are matched, slid and fell are in different places and a key measure of demand is in the middle which s1 doesn't have.",B contains material not in A; 0 -> a key measure of demand;
99,"Mr Pollard said: ""This is a terrible personal tragedy and a shocking blow for James's family.","Nick Pollard, the head of Sky News said: ""This is a shocking blow for James's family.",0,"Incorrect  Subsumption - there is the missing material of ""terrible personal tragedy"" in s2, but for me, removing this doesn't change the overall semantics.",named entity recognition might help; 0 -> the head of Sky News; a terrible personal tragedy -> 0;
100,Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,1,Correct  Lots of transformations   higher courts --> federal courts tablets broke --> monument violates separation --> ban church/state --> state-established religion,tablets -> monument; broke ... separation of church and state -> violates ban against state-established religion;
